GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area,longitude,latitude,walkability_tier,neighborhood_name
60750260011,60750260011,6,75,26001,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",51.8952007,0.0,51.8952007,51.8952007,2477,735,708,1594,0.8527375817499733,0.5487027724139423,168.56125194636735,390.27,12,20,18,17,17.0,1935.9559938391124,210018.5521476525,-122.430978,37.725016,High,Other SF Area
60750110001,60750110001,6,75,11000,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",15.2717684,0.0,15.2717684,14.35423,786,470,387,602,0.6076795332800412,0.6474035071957304,544.9218310565789,87.17,15,12,20,20,17.833333333333336,1385.263416486712,61804.460267680486,-122.420039,37.795709,High,Nob Hill
60750604001,60750604001,6,75,60400,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",1684.6877697999998,598.0813342,1086.6064356,447.35911,1557,1058,989,1073,0.6398441656571435,0.6308782484931885,109.78944730262558,-99999.0,14,13,15,1,9.833333333333334,13020.802995593842,6817838.22441957,-122.496185,37.719879,Low,Other SF Area
60750607003,60750607003,6,75,60700,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",22.147573,0.0,22.147573,21.86284,904,490,467,652,0.6196848848637433,0.7727771558424545,77.09738669785624,183.73,18,12,12,19,15.333333333333332,1311.8327725516165,89630.34046477899,-122.390191,37.779625,Medium,South of Market
60750107003,60750107003,6,75,10700,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",13.163017,0.0,13.163017,13.163017,1718,840,754,848,0.6902684276433461,0.7957727571582831,453.9263301110983,114.0,19,15,20,20,19.0,1310.1087437882009,53269.73007317194,-122.408922,37.797105,High,Financial District
60750108002,60750108002,6,75,10800,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",15.1410525,0.0,15.1410525,15.1410525,1811,925,837,880,0.4578923285468451,0.3603313539512601,535.5083472565727,93.88,6,7,20,20,15.5,1287.336556834395,61273.055964516185,-122.414617,37.796183,Medium,Nob Hill
60750109001,60750109001,6,75,10900,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",15.2574366,0.0,15.2574366,15.2574366,755,524,430,633,0.6701254560653213,0.5480541410859743,727.2309425817964,33.53,12,14,20,20,17.666666666666668,1007.0119400246292,61745.46976694868,-122.419047,37.7992,High,Nob Hill
60750109002,60750109002,6,75,10900,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",22.8350052,0.0,22.8350052,22.73317,2150,1285,1238,1009,0.6824299432823321,0.4535674708555128,196.2180415881841,295.05,9,15,19,18,16.333333333333332,1299.521463769542,92411.6938330253,-122.419505,37.797217,High,Nob Hill
60750109003,60750109003,6,75,10900,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",23.8424319,0.0,23.8424319,23.8424319,1605,1024,879,1004,0.7096751839125761,0.7445026401581119,178.96161003609706,128.75,17,16,19,20,18.5,1446.4358284849798,96488.7631687404,-122.422538,37.798079,High,Nob Hill
60750110002,60750110002,6,75,11000,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",21.8663732,0.0,21.8663732,21.71682,2151,1409,1105,1233,0.783216900747545,0.5410182407347295,87.80605647030666,115.34,11,18,13,20,15.833333333333332,1579.18043652094,88491.33216374104,-122.419267,37.794575,Medium,Nob Hill
